City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,norman wells,65.282,-126.8329,11.02,93,75,3.09,CA,1659944963
299,dibulla,11.2725,-73.3091,24.35,85,15,3.24,CO,1659944964
300,kaa-khem,51.6833,94.7333,28.72,19,99,3.07,RU,1659944965
301,pindobacu,-10.7417,-40.3608,17.25,94,68,2.32,BR,1659944966
302,sorong,-0.8833,131.25,28.45,75,100,2.27,ID,1659944967
303,nautanwa,27.4333,83.4167,36.31,48,14,4.3,IN,1659944968
304,bentiu,9.2333,29.8333,25.73,84,100,2.95,SS,1659944969
305,gambela,8.25,34.5833,29.94,59,71,0.44,ET,1659944969
306,vestmannaeyjar,63.4427,-20.2734,10.99,83,99,8.32,IS,1659944970
307,hambantota,6.1241,81.1185,32.19,62,40,7.72,LK,1659944971
308,saint-joseph,-21.3667,55.6167,24.21,70,2,3.94,RE,1659944972
309,husavik,66.0449,-17.3389,11.22,73,47,5.77,IS,1659944973
310,lamlash,55.5336,-5.1296,15.96,81,100,2.01,GB,1659944974
311,kenai,60.5544,-151.2583,14.05,75,75,9.26,US,1659944976
312,luderitz,-26.6481,15.1594,16.83,47,10,2.76,NA,1659944977
313,santiago,-33.4569,-70.6483,7.14,83,0,0.51,CL,1659944401
314,pochutla,15.7432,-96.4661,23.79,91,99,1.95,MX,1659944978
315,anadyr,64.75,177.4833,8.28,61,0,7,RU,1659944980
316,san cristobal,7.7669,-72.225,18.04,96,51,1.04,VE,1659944981
317,buchanan,5.8808,-10.0467,23.58,81,98,2.08,LR,1659944982
318,owando,-0.4819,15.8999,30.14,48,18,2.33,CG,1659944983
319,ostrovnoy,68.0531,39.5131,15.1,57,36,4.84,RU,1659944984
320,santa helena de goias,-17.8136,-50.5969,22.67,41,52,2.18,BR,1659944927
321,oda,35.1833,132.5,31.43,78,100,4.93,JP,1659944985
322,bambanglipuro,-7.95,110.2833,26.66,72,72,5.01,ID,1659944987
323,byron bay,-28.65,153.6167,15.52,70,1,6.28,AU,1659944791
324,batemans bay,-35.7167,150.1833,12.83,81,14,2.34,AU,1659944990
325,odweyne,9.4092,45.064,26.12,41,63,11.22,SO,1659944991
326,fairbanks,64.8378,-147.7164,12,82,100,1.54,US,1659944824
327,maceio,-9.6658,-35.7353,20.69,94,75,3.09,BR,1659944837
328,manokwari,-0.8667,134.0833,27.9,70,29,1.87,ID,1659944995
329,novyy urengoy,66.0833,76.6333,29.43,34,0,5.31,RU,1659944996
330,tauranga,-37.6861,176.1667,13.81,86,95,2.31,NZ,1659944997
331,constitucion,-35.3333,-72.4167,7.03,87,0,3.14,CL,1659944756
332,mackay,-21.15,149.2,17.6,56,0,5.06,AU,1659944999
333,mount isa,-20.7333,139.5,22.87,15,0,4.63,AU,1659945000
334,la rioja,42.25,-2.5,18.88,51,0,2.04,ES,1659945001
335,corrales,35.2378,-106.6067,22.6,65,100,4.12,US,1659945002
336,sfantu gheorghe,45.8667,25.7833,26.63,51,17,1.29,RO,1659944706
337,xuddur,4.1213,43.8894,28.89,36,15,10.52,SO,1659945005
338,sydney,-33.8679,151.2073,14.28,69,20,8.75,AU,1659944871
339,sandwick,60,-1.25,12.9,100,75,8.75,GB,1659945009
340,lar,26.2039,83.9717,38.6,37,48,6.61,IN,1659945010
341,bilma,18.6853,12.9164,33.29,40,98,2.04,NE,1659945012
342,sambava,-14.2667,50.1667,23.85,68,3,5.77,MG,1659945013
343,shatsk,54.0258,41.7119,25.74,44,57,1.98,RU,1659945014
344,verkhnyaya inta,65.9811,60.3094,28.14,36,7,8.19,RU,1659945015
345,buritis,-15.6178,-46.4233,19.92,44,15,0.61,BR,1659945016
346,raudeberg,61.9875,5.1352,14.42,70,50,7.78,NO,1659945018
347,rong kwang,18.339,100.3174,25.71,96,100,0.86,TH,1659945020
348,sao miguel do araguaia,-13.275,-50.1628,24.68,38,77,1.69,BR,1659945020
349,tessalit,20.1986,1.0114,35.22,12,35,2.18,ML,1659945022
350,ouadda,8.0777,22.4007,24.6,72,71,2.44,CF,1659945023
351,sao joao da barra,-21.6403,-41.0511,20.68,94,66,2.09,BR,1659945024
352,adrar,20.5022,-10.0711,34.13,31,5,5.42,MR,1659945025
353,kambove,-10.8764,26.5969,20.89,35,30,4.17,CD,1659945026
354,los llanos de aridane,28.6585,-17.9182,19.86,78,20,6.17,ES,1659945027
355,kutum,14.2,24.6667,27.21,48,95,1.47,SD,1659945028
356,sayan,-11.1361,-77.1933,17.75,64,63,0.59,PE,1659945029
357,bontang,0.1333,117.5,28.36,73,93,5.1,ID,1659945030
358,saint anthony,45.0205,-93.218,15.48,94,100,5.14,US,1659945031
359,tommot,58.9564,126.2925,14.51,96,100,2.48,RU,1659945032
360,corinto,37.9407,22.9573,29.38,39,0,10.12,GR,1659945033
361,pisco,-13.7,-76.2167,15.03,77,40,1.54,PE,1659945034
362,monrovia,6.3005,-10.7969,23.87,82,100,3.42,LR,1659945031
363,bima,-8.4667,118.7167,30.3,55,52,2.16,ID,1659945037
